Date,UGA,OVX,EMVIX,VIX,US Gasoline Stock KB,Iraq->US Crude Imports KB/D,Saudi->US Crude Imports KB/D
2011-03-18,48.32,41.9,30.916666666666668,24.44,219720.0,336.0,1102.0
2011-03-25,49.66,36.808,24.946,19.18,217036.0,488.0,1033.0
2011-04-01,51.200001,33.876,23.308,18.09,216679.0,173.0,826.0
2011-04-08,53.09,33.227999999999994,23.442,17.326,209679.0,535.0,1170.0
2011-04-15,53.380001,33.016,22.688,16.438,208096.0,186.0,1192.0
2011-04-22,53.720001,30.307499999999997,21.5125,15.6375,205588.0,667.0,1343.0
2011-04-29,55.740002,30.577999999999996,22.259999999999998,15.222,204542.0,615.0,1094.0
2011-05-06,50.990002,35.888,25.101999999999997,17.274,205817.0,325.0,1017.0
2011-05-13,50.490002,41.488,24.456,16.624000000000002,205936.0,226.0,1141.0
2011-05-20,48.689999,38.45,24.062,16.994,209730.0,530.0,1473.0
2011-05-27,50.23,35.664,23.424,17.046,212283.0,426.0,906.0
2011-06-03,49.73,33.4775,24.247500000000002,17.447499999999998,214492.0,455.0,779.0
2011-06-10,49.889999,33.221999999999994,25.624000000000002,18.395999999999997,215065.0,537.0,1204.0
2011-06-17,48.759998,34.982,28.046,20.754,214601.0,487.0,890.0
2011-06-24,46.0,35.096,26.863999999999997,19.552,213173.0,707.0,894.0
2011-07-01,50.029999,32.352,24.286,17.878,212539.0,582.0,1499.0
2011-07-08,52.209999,30.9125,22.77,16.075,211699.0,470.0,1295.0
2011-07-15,52.900002,33.266,25.413999999999998,19.7,212456.0,558.0,1118.0
2011-07-22,53.099998,31.439999999999998,24.094,18.866,213478.0,739.0,1323.0
2011-07-29,52.419998,32.30200000000001,27.113999999999997,22.31,215179.0,604.0,1232.0
2011-08-05,48.150002,37.778,33.052,27.098000000000003,213591.0,813.0,778.0
2011-08-12,48.240002,55.35,51.714,40.282,210081.0,787.0,980.0
2011-08-19,48.970001,48.798,41.367999999999995,36.404,211436.0,411.0,1290.0
2011-08-26,49.939999,49.5,45.896,37.992000000000004,208641.0,485.0,1375.0
2011-09-02,50.93,44.56,40.354,32.506,208840.0,406.0,1435.0
2011-09-09,49.77,46.865,44.555,35.805,210780.0,470.0,1165.0
2011-09-16,49.959999,44.15,44.568,34.61,214075.0,410.0,1621.0
2011-09-23,45.860001,49.864,50.306,37.102,214866.0,388.0,1307.0
2011-09-30,45.939999,52.85,56.876,39.922000000000004,213729.0,578.0,1108.0
2011-10-07,47.82,53.65599999999999,54.998000000000005,39.31,209595.0,534.0,1107.0
2011-10-14,51.259998,46.984,43.798,31.216,206271.0,367.0,1035.0
2011-10-21,48.869999,49.1,46.56,33.098,204918.0,551.0,971.0
2011-10-28,48.540001,45.372,41.094,28.266000000000002,206274.0,598.0,1291.0
2011-11-04,49.040001,44.35,44.226,31.625999999999998,204167.0,395.0,1081.0
2011-11-11,47.73,46.012,44.263999999999996,31.268,205159.0,292.0,831.0
2011-11-18,45.619999,43.726,45.884,32.474000000000004,209634.0,341.0,984.0
2011-11-25,45.09,50.5175,49.765,33.332499999999996,209847.0,425.0,1616.0
2011-12-02,48.119999,41.782,41.408,29.1,214994.0,511.0,1344.0
2011-12-09,47.599998,39.010000000000005,40.596,28.322000000000003,218818.0,270.0,1166.0
2011-12-16,45.619999,42.086,36.06,25.304,218406.0,71.0,1251.0
2011-12-23,48.919998,37.63,31.5,22.292,217714.0,713.0,1156.0
2011-12-30,48.32,38.269999999999996,32.87,22.869999999999997,220193.0,293.0,1272.0
2012-01-06,50.310001,38.7325,31.79,21.825,223803.0,820.0,2047.0
2012-01-13,50.080002,35.938,30.107999999999997,20.838,227520.0,312.0,1414.0
2012-01-20,50.700001,33.355000000000004,28.0075,20.310000000000002,227130.0,198.0,1394.0
2012-01-27,53.049999,32.372,27.182,18.598000000000003,230147.0,508.0,1347.0
2012-02-03,52.91,31.75,27.131999999999998,18.494,231776.0,703.0,1201.0
2012-02-10,54.119999,32.238,28.418,18.598,232176.0,570.0,1704.0
2012-02-17,55.049999,33.766,29.564,19.344,231527.0,56.0,1397.0
2012-02-24,57.169998,33.84,26.525,17.622500000000002,229927.0,169.0,1643.0
2012-03-02,56.48,33.254000000000005,26.462,17.826,229531.0,166.0,1230.0
2012-03-09,57.380001,32.83,27.502,18.61,228121.0,536.0,1694.0
2012-03-16,57.740002,29.375999999999998,25.294,15.128,226907.0,222.0,912.0
2012-03-23,57.91,27.466,24.924,15.228,223370.0,75.0,1916.0
2012-03-30,57.16,28.278000000000002,26.01,15.26,221913.0,569.0,1550.0
2012-04-06,57.330002,28.2925,25.9175,16.11,217636.0,396.0,1464.0
2012-04-13,57.700001,30.234,28.694,19.194,213965.0,356.0,1845.0
2012-04-20,54.849998,28.458,27.192,18.490000000000002,211730.0,296.0,1384.0
2012-04-27,55.119999,25.532,25.344,17.29,209721.0,708.0,1417.0
2012-05-04,52.259998,26.51,25.108,17.47,207108.0,689.0,1676.0
2012-05-11,52.75,28.96,28.369999999999997,19.357999999999997,204311.0,109.0,1656.0
2012-05-18,50.549999,32.074,34.58,23.14,201012.0,779.0,1436.0
2012-05-25,50.900002,30.194,33.616,22.024,200179.0,895.0,1379.0
2012-06-01,47.669998,35.115,34.1075,23.9725,203525.0,873.0,1437.0
2012-06-08,48.369999,37.06,33.434000000000005,23.182,201801.0,285.0,1670.0
2012-06-15,48.419998,38.660000000000004,33.652,22.541999999999998,202744.0,636.0,1520.0
2012-06-22,45.799999,35.044,27.464,18.426,204822.0,1147.0,1025.0
2012-06-29,48.450001,34.858000000000004,28.354000000000003,19.268,204973.0,325.0,1523.0
2012-07-06,50.139999,37.1225,26.4875,17.0,207725.0,294.0,1531.0
2012-07-13,51.919998,35.85,27.25,17.944,205910.0,494.0,1233.0
2012-07-20,54.470001,35.274,24.804,16.294,210044.0,457.0,1608.0
2012-07-27,53.5,35.089999999999996,27.412,18.532,207870.0,435.0,1387.0
2012-08-03,56.099998,33.686,26.330000000000002,17.826,206069.0,183.0,1262.0
2012-08-10,57.779999,31.401999999999997,23.812,15.456,203698.0,676.0,1698.0
2012-08-17,58.119999,30.677999999999997,21.759999999999998,14.184000000000001,202736.0,670.0,1007.0
2012-08-24,58.599998,31.196000000000005,22.022,15.057999999999998,201227.0,546.0,1519.0
2012-08-31,60.16,32.484,24.89,17.04,198893.0,326.0,740.0
2012-09-07,61.150002,33.5225,24.8175,16.425,197716.0,578.0,1469.0
2012-09-14,61.040001,33.089999999999996,23.27,15.41,196309.0,579.0,1458.0
2012-09-21,58.700001,34.964,21.830000000000002,14.14,195828.0,435.0,1067.0
2012-09-28,60.52,33.842,22.268,15.392000000000001,195942.0,606.0,1267.0
2012-10-05,61.43,33.339999999999996,22.178,15.268,195408.0,333.0,1433.0
2012-10-12,60.16,34.37,22.59,15.9,197128.0,278.0,1294.0
2012-10-19,55.82,32.474000000000004,20.94,15.530000000000001,198567.0,854.0,1252.0
2012-10-26,55.240002,33.1,24.124000000000002,17.942,199502.0,719.0,1221.0
2012-11-02,53.849998,31.963333333333335,23.243333333333336,17.62666666666667,202377.0,668.0,1284.0
2012-11-09,56.529999,32.63,23.84,18.436,201937.0,636.0,1367.0
2012-11-16,56.66,30.881999999999998,23.708,17.130000000000003,200390.0,371.0,1177.0
